LAT,LON,YEAR,MO,DY,ALLSKY_KT,ALLSKY_SFC_SW_DWN
5.5,-74.5,2022,1,9,0.51,4.79
5.5,-73.5,2022,1,9,0.57,5.28
5.5,-72.5,2022,1,9,0.49,4.55
5.5,-71.5,2022,1,9,0.52,4.81
5.5,-70.5,2022,1,9,0.52,4.84
6.5,-76.5,2022,1,9,0.39,3.55
6.5,-75.5,2022,1,9,0.39,3.61
6.5,-74.5,2022,1,9,0.52,4.83
6.5,-73.5,2022,1,9,0.57,5.26
6.5,-72.5,2022,1,9,0.49,4.51
6.5,-71.5,2022,1,9,0.36,3.31
6.5,-70.5,2022,1,9,0.55,5.05
7.5,-76.5,2022,1,9,0.48,4.32
7.5,-75.5,2022,1,9,0.45,4.1
7.5,-74.5,2022,1,9,0.45,4.05
7.5,-73.5,2022,1,9,0.55,4.99
7.5,-72.5,2022,1,9,0.3,2.74
7.5,-71.5,2022,1,9,0.32,2.91
7.5,-70.5,2022,1,9,0.59,5.38
1.5,-76.5,2022,1,10,0.3,2.9
1.5,-75.5,2022,1,10,0.35,3.42
1.5,-74.5,2022,1,10,0.5,4.92
1.5,-73.5,2022,1,10,0.56,5.51
1.5,-72.5,2022,1,10,0.66,6.45
1.5,-71.5,2022,1,10,0.7,6.87
1.5,-70.5,2022,1,10,0.69,6.81
2.5,-76.5,2022,1,10,0.31,3.04
2.5,-75.5,2022,1,10,0.37,3.59
2.5,-74.5,2022,1,10,0.45,4.37
2.5,-73.5,2022,1,10,0.54,5.26
2.5,-72.5,2022,1,10,0.59,5.76
2.5,-71.5,2022,1,10,0.69,6.73
2.5,-70.5,2022,1,10,0.71,6.87
3.5,-76.5,2022,1,10,0.34,3.24
3.5,-75.5,2022,1,10,0.41,3.9
3.5,-74.5,2022,1,10,0.41,3.9
3.5,-73.5,2022,1,10,0.44,4.21
3.5,-72.5,2022,1,10,0.53,5.04
3.5,-71.5,2022,1,10,0.66,6.31
3.5,-70.5,2022,1,10,0.69,6.64
4.5,-76.5,2022,1,10,0.23,2.22
4.5,-75.5,2022,1,10,0.31,2.94
4.5,-74.5,2022,1,10,0.4,3.8
4.5,-73.5,2022,1,10,0.38,3.62
4.5,-72.5,2022,1,10,0.52,4.87
4.5,-71.5,2022,1,10,0.65,6.15
4.5,-70.5,2022,1,10,0.7,6.6
5.5,-76.5,2022,1,10,0.24,2.24
5.5,-75.5,2022,1,10,0.28,2.58
5.5,-74.5,2022,1,10,0.36,3.39
5.5,-73.5,2022,1,10,0.4,3.78
5.5,-72.5,2022,1,10,0.46,4.33
5.5,-71.5,2022,1,10,0.64,5.99
5.5,-70.5,2022,1,10,0.69,6.45
6.5,-76.5,2022,1,10,0.21,1.92
6.5,-75.5,2022,1,10,0.33,3.0
6.5,-74.5,2022,1,10,0.41,3.75
6.5,-73.5,2022,1,10,0.52,4.81
6.5,-72.5,2022,1,10,0.48,4.38
6.5,-71.5,2022,1,10,0.48,4.42
6.5,-70.5,2022,1,10,0.63,5.82
7.5,-76.5,2022,1,10,0.25,2.27
7.5,-75.5,2022,1,10,0.29,2.65
7.5,-74.5,2022,1,10,0.43,3.93
7.5,-73.5,2022,1,10,0.62,5.65
7.5,-72.5,2022,1,10,0.47,4.29
7.5,-71.5,2022,1,10,0.47,4.31
7.5,-70.5,2022,1,10,0.62,5.68
1.5,-76.5,2022,1,11,0.39,3.85
1.5,-75.5,2022,1,11,0.42,4.1
1.5,-74.5,2022,1,11,0.51,4.98
1.5,-73.5,2022,1,11,0.61,5.98
1.5,-72.5,2022,1,11,0.64,6.32
1.5,-71.5,2022,1,11,0.69,6.81
1.5,-70.5,2022,1,11,0.66,6.47
2.5,-76.5,2022,1,11,0.37,3.59
2.5,-75.5,2022,1,11,0.33,3.22
2.5,-74.5,2022,1,11,0.42,4.12
2.5,-73.5,2022,1,11,0.54,5.26
2.5,-72.5,2022,1,11,0.56,5.41
2.5,-71.5,2022,1,11,0.67,6.55
2.5,-70.5,2022,1,11,0.67,6.47
3.5,-76.5,2022,1,11,0.42,4.06
3.5,-75.5,2022,1,11,0.39,3.72
3.5,-74.5,2022,1,11,0.37,3.55
3.5,-73.5,2022,1,11,0.44,4.18
3.5,-72.5,2022,1,11,0.55,5.32
3.5,-71.5,2022,1,11,0.64,6.18
3.5,-70.5,2022,1,11,0.67,6.41
4.5,-76.5,2022,1,11,0.43,4.12
4.5,-75.5,2022,1,11,0.38,3.63
4.5,-74.5,2022,1,11,0.46,4.35
4.5,-73.5,2022,1,11,0.3,2.84
4.5,-72.5,2022,1,11,0.46,4.35
4.5,-71.5,2022,1,11,0.64,6.05
4.5,-70.5,2022,1,11,0.66,6.25
5.5,-76.5,2022,1,11,0.43,3.99
5.5,-75.5,2022,1,11,0.33,3.08
5.5,-74.5,2022,1,11,0.41,3.87
5.5,-73.5,2022,1,11,0.36,3.34
5.5,-72.5,2022,1,11,0.35,3.3
5.5,-71.5,2022,1,11,0.57,5.36
5.5,-70.5,2022,1,11,0.67,6.28
6.5,-76.5,2022,1,11,0.32,3.0
6.5,-75.5,2022,1,11,0.32,2.91
6.5,-74.5,2022,1,11,0.43,3.97
6.5,-73.5,2022,1,11,0.41,3.74
6.5,-72.5,2022,1,11,0.4,3.68
6.5,-71.5,2022,1,11,0.38,3.47
6.5,-70.5,2022,1,11,0.56,5.21
7.5,-76.5,2022,1,11,0.31,2.8
7.5,-75.5,2022,1,11,0.33,3.03
7.5,-74.5,2022,1,11,0.41,3.7
7.5,-73.5,2022,1,11,0.38,3.43
7.5,-72.5,2022,1,11,0.29,2.6
7.5,-71.5,2022,1,11,0.41,3.75
7.5,-70.5,2022,1,11,0.62,5.63
1.5,-76.5,2022,1,12,0.42,4.17
1.5,-75.5,2022,1,12,0.46,4.52
1.5,-74.5,2022,1,12,0.55,5.45
1.5,-73.5,2022,1,12,0.66,6.45
1.5,-72.5,2022,1,12,0.66,6.49
1.5,-71.5,2022,1,12,0.67,6.63
1.5,-70.5,2022,1,12,0.68,6.65
2.5,-76.5,2022,1,12,0.43,4.21
2.5,-75.5,2022,1,12,0.43,4.16
2.5,-74.5,2022,1,12,0.53,5.17
2.5,-73.5,2022,1,12,0.61,5.9
2.5,-72.5,2022,1,12,0.62,6.02
2.5,-71.5,2022,1,12,0.66,6.37
2.5,-70.5,2022,1,12,0.68,6.59
3.5,-76.5,2022,1,12,0.5,4.79
3.5,-75.5,2022,1,12,0.47,4.52
3.5,-74.5,2022,1,12,0.46,4.43
3.5,-73.5,2022,1,12,0.56,5.42
3.5,-72.5,2022,1,12,0.62,5.92
3.5,-71.5,2022,1,12,0.63,6.1
3.5,-70.5,2022,1,12,0.68,6.49
4.5,-76.5,2022,1,12,0.53,5.07
4.5,-75.5,2022,1,12,0.43,4.12
4.5,-74.5,2022,1,12,0.45,4.3
4.5,-73.5,2022,1,12,0.41,3.92
4.5,-72.5,2022,1,12,0.58,5.49
4.5,-71.5,2022,1,12,0.66,6.27
4.5,-70.5,2022,1,12,0.66,6.22
5.5,-76.5,2022,1,12,0.57,5.34
5.5,-75.5,2022,1,12,0.47,4.37
5.5,-74.5,2022,1,12,0.44,4.1
5.5,-73.5,2022,1,12,0.49,4.57
